Don't look at the sun.	o lukin ala e suno.
It was very misty.	kon walo mute li lon.
The damage is done.	pakala li lon.
Are you healthy?	sina jo ala jo e sijelo pona?
Do you have any interest in sports?	musi pi tawa sijelo li pona ala pona tawa sina?
Have you ever seen a wolf?	sina lukin ala lukin e soweli wawa?
The rooster crowed.	waso tenpo li mu.
I can only wait.	mi ken awen taso.
Do you know how to hunt?	sina ken ala ken alasa?
Come on, tell me!	o toki e ni tawa mi!
I'd like to see the Statue of Liberty.	mi wile lukin e meli kiwen pi ma Mewika.
I felt sick.	mi pilin ike.
I make my own luck.	mi pali e pona nasa mi.
Mary is better off than she was.	lon pi jan Mewi li pona tawa tenpo pini.
Tom was away for three weeks.	jan Ton li weka lon sike esun tu wan.
Hell is paved with good intentions.	wile pona mute li lon nasin pi ma anpa ike.
The plate is dirty.	sike moku li jaki.
Do you love nature?	ma li pona ala pona tawa sina?
Instead of ink there was some kind of strange fluid in the bottle.	insa poki li jo ala e telo sitelen li jo a e telo nasa.
That looks like blood.	ni li sama telo sijelo tawa lukin.
They're green.	ona mute li jelo laso.
A teaspoon, please.	mi wile e lili.
It was a bad movie.	sitelen tawa li ike.
Tom dug a deep hole in the garden.	jan Ton li pali e lupa suli lon ma kili.
Tom looked down into the valley below.	jan Ton li lukin e lupa linja lon anpa ona.
You're awesome.	sina pona wawa a.
Tom and Mary said they were suspicious.	jan Ton en jan Mewi li toki e ni: jan ni li pali nasa.
The less you know, the better.	sona sina li lili la pona li mute.
You can write whatever you want.	sina wile sitelen e ijo, la o sitelen e ona.
Will you still love me when I am no longer young and beautiful?	tenpo li kama tawa mi la pona lukin li weka tan mi la, sina olin e mi anu seme?
If it rains, I have an umbrella.	telo li kama tan sewi la mi jo e ilo awen.
Tom frequently thought of Mary.	jan Ton li toki wawa e jan Mewi.
Words are the clothes of thought.	nimi li len pi toki insa.
There are two places vacant in the company.	tomo pali li wile e jan tu.
I think Tom is weak.	mi pilin e ni: jan Ton li wawa ala.
There is no sugar in the bowl.	ko suwi li lon ala poki.
When acid touches metal, a chemical reaction happens.	telo ni en kiwen ni li kama wan, la seli li kama.
What did Tom do to make Mary angry?	jan Ton li seme la jan Mewi li kama wile utala?
What is a verb?	nimi pali li seme?
I'll fix it.	mi pona e ona.
I don't want her to know our secret.	mi wile ala e ni: ona li sona e sona len pi mi mute.
She has issues.	ona li jo e ike mute.
Do you have a big family?	kulupu mama sina li suli ala suli?
Why don't you come in?	o kama lon tomo mi!
Which color do you prefer?	kule seme li pona tawa sina?
The bird is trying to get the insect.	waso li lukin kama jo e pipi.
There is a hole in your sock.	len noka sina la lupa li lon.
You used to love me.	tenpo pini la sina olin e mi.
No, I didn't write it.	mi sitelen ala e ni.
"He called me ""fag."""	"ona li toki e mi la, ""ike kule."""
When does spring begin?	tenpo pi kasi kule li open lon tenpo seme?
Tom walked into the room.	jan Ton li tawa insa tomo.
This is exactly what I wanted to happen.	mi wile e ni: ni li kama.
I caught a beautiful butterfly.	mi alasa e pipi waso pi pona lukin mute.
Tom went into the room first.	jan Ton li tawa insa tomo li nanpa wan.
I didn't have to pay.	mi wile ala pana e mani.
He didn't forget us.	ona li weka ala e mi mute.
I'm energetic.	mi wawa.
Everything comes here.	ale li kama lon ni.
She has never lived in India.	tenpo ala la ona li lon ma Palata.
I can't go abroad this year.	sike suno ni la mi ken ala tawa ma ante.
They began fixing themselves drinks.	ona li open pali e telo moku tawa ona.
Tom is peeling the potatoes, isn't he?	jan Ton li weka e selo tan kili ma anu seme?
You're the only person who can help me.	sina taso li ken pana e pona tawa mi.
Tom's working.	jan Ton li pali.
Tom is a very good person.	jan Ton li jan pi pona mute.
I'm going to visit Tom next week.	mi tawa tomo pi jan Ton lon sike esun kama.
They're hollow.	ijo ala li lon insa ona.
Did you see yesterday's episode?	sina lukin ala lukin e sitelen pi tenpo suno pini?
I liked your story.	toki sina li pona tawa mi.
I want to eat something.	mi wile moku e ijo.
She opened a new store.	ona li open e esun sin.
Tom will never want that.	tenpo ala la jan Ton li wile e ni.
Hebrew was the first Jewish language.	toki Iwi li toki pi tenpo nanpa wan pi kulupu jan Juta.
I was tired and cold.	mi wile lape li pilin lete.
It is neither good nor bad.	ona li meso.
I talked to Tom's parents.	mi toki tawa mama pi jan Ton.
You're very strong.	sina wawa mute.
Let me help him.	o ken e ni: mi pana e pona tawa ona.
She's very lonely.	meli li wan taso kin.
There are several churches near my house.	tomo mute pi nasin sewi li lon poka pi tomo mi.
They objected to the new rules.	lawa sin li ike tawa ona mute.
What a funny man!	jan ni li musi!
Do you accept Visa?	sina kepeken lipu mani Wisa anu seme?
Many people living in the United States speak Spanish.	jan mute lon ma Mewika li toki Epanja.
How did you break the tool?	nasin seme la sina pakala e ilo?
Mary is a lesbian.	jan Mewi li unpa e meli.
This was happening every autumn.	tenpo sike pi lete lili ale la ni li kama.
He is bound to her.	mije li wan tawa meli.
I don't think we'll ever know.	mi toki insa e ni: mi mute li sona e ni lon tenpo ala.
I'm not thirsty right now.	tenpo ni la mi wile ala moku e telo.
He has a safe in his office.	ona li jo e poki kiwen lon tomo pali ona.
Mary made friends with the new girl in school.	jan Mewi en jan sin pi tomo sona li kama jan pona.
I didn't like it at first.	tenpo pini la ni li ike tawa mi.
I truly dislike snakes.	akesi li ike mute tawa mi.
Did Tom say he'd be busy?	jan Ton li toki e ni anu seme: ona li pali mute?
Thanks, I hate it.	pona. ni li ike mute tawa mi.
Without water, nothing could live.	ale li lon ala poka ala telo.
Good cat!	soweli pona a!
Tom has black hair as well.	sama la jan Ton a li jo e linja lawa pimeja.
Hi.	toki.
I can't control the lust I feel for him.	mi ken ala lawa e ni: mi wile unpa e ona.
"At some point in the future, we're going to look back and say, ""How did we do it without space?"""	tenpo kama la mi mute li lukin e tenpo pini li toki e ni: mun ali li lon ala la mi mute li pali e ni kepeken seme?
You guys can do it if you try.	sina lukin pali la sina ken pali.
I know only one way to do this.	mi sona e nasin wan taso pi ijo ni.
I'm Mary.	mi jan Mewi.
Yesterday, I ate an apple.	tenpo suno pini la, mi moku e kili.
Can we live here?	mi mute li ken ala ken lon ni?
What's Tom up to?	jan Ton li wile pali e seme?
Toki Pona was never a simple language.	tenpo ala la toki pona li toki pona.
Tom is an intelligent person.	jan Ton li jan pi lawa wawa.
Dinner's getting cold.	moku li kama lete.
Are you certain?	sina sona ala sona?
My brother studies to become a doctor.	jan sama mi li kama sona tan ni: ona li wile kama jan pi pona sijelo.
The princess disguised herself as a simple shepherdess.	jan lili meli pi jan lawa li kepeken len pi meli lawa pi kulupu pi soweli walo.
In one year there are twelve months.	tenpo sike mun mute li lon tenpo sike suno wan.
Nobody is going to know where you purchased your clothes.	jan ala li sona e ni: sina kama jo e len sina lon esun seme?
My grandfather was a soldier in the war.	utala la mama mama mi li jan utala.
The apple does not fall far from the trunk.	kili li tawa anpa poka kasi.
Tom painted that.	jan Ton li sitelen e ni.
I am sick.	mi jo e sijelo ike.
Peace is of the utmost importance.	utala ala li suli mute.
He lives in Tokyo.	ona li jo e tomo lon ma tomo Tokijo.
I heard you actually tried to do that.	mi kute e ni: sina alasa e ni.
You look up at the sun.	sina lukin e suno lon sewi.
That is all.	ni li ali.
We don't have a daughter.	mi jo ala e meli lili.
Bela Lugosi is dead.	jan Pela Lukosi li moli.
It sounds weird.	kute la ni li nasa.
It's on the ground floor.	ona li lon supa anpa pi tomo suli.
It's sweet.	ona li suwi.
Tom has gone insane.	jan Ton li kama nasa.
Listen closely.	o kute wawa.
I really like sleeping under the stars.	mi lape lon ma, la ni li pona mute tawa mi.
She doesn't know how to drive a car.	ona li ken ala lawa e tomo tawa.
Burn it.	o seli e ona.
Keep a close eye on Tom and make sure he doesn't get into any trouble.	o lukin e jan Ton o weka e ona tan ike ali.
Where did you feed them?	sina pana e moku tawa ona lon seme?
Have you seen my bottle?	sina lukin ala lukin e poki mi?
Tom watered the flowers.	jan Ton li pana e telo lon kasi kule.
My boss is mad at me.	jan lawa mi li pilin utala tan mi.
I can make you happy.	mi ken pona e pilin sina.
I will be waiting for you at the cafe.	mi awen lon tomo pi telo pimeja tan kama sina.
I walked along the river.	mi tawa kepeken noka lon poka pi nasin telo.
Take this medicine for your cold three times a day.	o moku e ni pi pona sijelo tawa jaki sina lon tenpo tu wan pi tenpo suno.
If you want to make something good, you may.	sina wile pali e ijo pona, la sina ken pali e ona.
I don't like owing money to my friends.	ni li pona ala tawa mi: mi kama jo e mani tan jan pona mi la, mi wile pana e mani ni tawa ona lon tenpo kama.
Do I have to write in ink?	mi wile ala wile sitelen e lipu kepeken telo sitelen?
Forcing happiness in the short term makes you feel worse in the long term.	sina kama e pilin pona lon tenpo poka la ni li kama e pilin ike lon tenpo weka.
Melanie said that she likes to swim.	jan Melani li toki e ni: tawa lon telo li pona tawa mi.
I want Tom.	mi wile e jan Ton.
I'm not in love with Mary. We're just good friends.	mi olin ala e jan Mewi. mi tu li jan pona.
Excuse me?	seme?
What's love?	olin li seme?
Tom found some old books in the attic.	jan Ton li kama jo e lipu pi sike suno mute lon sewi tomo.
A favor costs nothing.	jan li pana e pona, li pana ala e mani.
My brother can drive.	mije sama mi li ken lawa e tomo tawa.
Where are you?	sina mute li lon seme?
Who ordered pizza?	jan seme li wile moku e pan sike?
Do not swim far!	o tawa ala pi weka mute lon telo!
A fallen tree blocked the path.	kasi suli li kama lon supa li sinpin lon nasin.
Food!	moku!
How many were there?	mute seme li lon?
Tom seems to be healthy.	lukin la jan Ton li jo e sijelo pona.
I'm not very good at this.	mi pona mute ala lon ni.
She is a liar.	ona li jan powe.
Tom is the one who hit me.	jan seme li utala e mi? jan Ton li ona.
The bridge gave way.	nasin pi noka suli li kama anpa.
Sami felt very fine.	jan Sami li pilin pona mute.
I'm a vampire.	mi monsuta.
I need to figure out how to do more.	mi wile kama sona e nasin pi pali mute.
Hot summer days ended and cool autumn days followed.	tenpo suno pi tenpo seli li tawa. tenpo suno pi tenpo lete li kama.
A true German can't stand the French, yet willingly he drinks their wines.	jan pona pi ma Tosi li olin ala e jan pi ma Kanse. taso ona li moku kin e telo nasa pi ma Kanse.
We think alike.	sina en mi li pilin sama.
The volcanoes are dangerous.	nena seli li ken pakala.
Tom's door was shut.	lupa pi jan Ton li pini.
I saw Marcus' house.	mi lukin e tomo pi jan Mako.
I love the way Tom dances.	mi olin e nasin pi tawa musi pi jan Ton.
They're experiencing white water rafting on a class five river.	ona mute li tawa lon telo tawa wawa walo.
Is this your son?	ni li mije lili sina?
She lives in the village.	tomo ona li lon ma tomo lili.
Tom did eventually tell me something I needed to know.	pini la jan Ton li toki e ijo tawa mi. mi wile sona e ona.
Have you been here since?	pini pi tenpo pini ni la sina kama lon ni anu seme?
Gimme a kiss!	o uta e mi!
Yes, today is the eleventh.	lon la tenpo suno ni li tenpo suno nanpa luka luka wan.
Since it was raining, we had to eat our picnic lunch indoors.	mi wile moku lon tomo tan telo sewi.
We are writing.	mi mute li sitelen.
I got it at the hardware store down the street.	mi kama jo e ona tan esun ilo lon nasin ni.
No one else spoke.	jan mute ala li toki.
Tom lacks confidence.	jan Ton li pilin ala wawa.
She was wearing a strange hat.	ona li jo e len lawa nasa.
You're forgetting Tom.	sina awen ala sona e jan Ton.
When is your birthday?	tenpo seme la sina kama lon?
She mistook me for my sister.	meli ni li lukin e mi, li toki e ni: mi meli sama mi.
I won't let myself be manipulated by him.	ona li lawa ala e mi.
Tom is unhurt.	jan Ton li pakala ala.
We were attacked by zombies.	jan pi moli pakala li utala e mi.
Raccoons are so big!	kijetesantakalu li suli mute!
Sounds odd.	nasa kute.
Why don't you understand?	sina sona ala e ni tan seme?
Don't yuck someone else's yum.	o ike ala tawa ijo pona pi jan ante.
Dogs like the autumn.	tenpo pi lete lili li pona tawa soweli tomo.
Tom tasted the cake.	jan Ton li pilin e pan suwi lon uta.
That's my business.	ni li ijo mi.
Tall buildings may sway in a strong wind.	kon pi wawa mute li ken tawa lili e tomo suli.
Hello! My name is Bashir.	toki! mi jan Pasa.
This is crazy.	ni li nasa.
What are you hinting at?	sina wile pana e seme tawa lukin?
Cats hunt small animals.	soweli suwi li alasa e soweli lili.
The moon is behind the clouds.	mun li lon monsi pi kon walo.
Tom has come.	jan Ton li kama.
I'm busy now.	tenpo ni la mi pali.
I shall hear the girl.	mi kute e meli lili.
Have you ever been to China?	tenpo pini la sina tawa ma Sonko anu seme?
I need a utensil.	mi wile e ilo moku.
Tom and I are in the kitchen.	jan Ton en mi li lon tomo pali moku.
Who was here first?	jan seme li kama lon ni lon nanpa wan?
Our friends hoped that we would help them.	jan pona mi li wile e ni: mi pana e pona tawa ona.
Was the water very hot?	telo li seli mute ala mute?
The boy's toys are in the bathroom.	ilo musi mije li lon tomo telo.
How's your sister today?	tenpo suno ni la meli sama sina li pilin seme?
We speak English.	mi toki Inli.
Sometimes bad things happen to good people.	tenpo pi mute lili la ijo ike il kama e jan pona.
It doesn't get better.	ali li ike li kama ala pona.
Tom probably doesn't know how to do that as well as I do.	ken suli la pali ni la sona pi jan Ton li lili tawa sona mi.
This is one of the trees that I want to have cut down.	ni li kasi suli wan ni: mi wile e ni: jan li lili e ona.
He's hungry and thirsty.	ona li wile moku li wile moku e telo.
I thought Tom and Mary were my friends.	mi pilin e ni: jan Ton en jan Mewi li jan pona mi.
Have you ever eaten at this restaurant?	tenpo pini la sina moku ala moku lon tomo moku ni?
I'd like to buy a house.	mi wile kama jo esun e tomo.
She shouted to him, but he didn't hear her.	tenpo pini la, meli li toki wawa tawa mije. taso mije li kute ala e meli.
It's snowing and it's cold.	ko walo lete li kama tan sewi. kin la kon li lete.
The elevator has green walls.	sinpin pi tomo tawa sewi li laso kasi.
The police found drugs in Tom's house.	jan lawa li kama jo e ilo nasa lon tomo pi jan Ton.
She is in bed with a fever.	ona li lon supa lape li jo e lawa seli.
The bathroom is upstairs.	tomo telo li sewi.
From the 26th to the 28th of September 2015, nine people from five countries gathered in Brno (Czech Republic) to have fun together learning and using the Toki Pona language. In this video they are in a university botanical garden and talk about what they see.	sike suno nanpa 2015 la jan mute pi toki pona pi ma mute li kama kulupu lon ma tomo Pono li musi mute kepeken toki pona. sitelen tawa ni la jan li lon ma kasi li toki e ni: ona li lukin e seme.
Is Tom in Australia?	jan Ton li lon ala lon ma Oselija?
In Japan, everyone speaks Japanese and hardly anyone speaks English.	ma Nijon la jan ale li toki kepeken toki Nijon. taso jan pi lili mute li toki kepeken toki Inli.
Can we have a word with Tom?	mi mute li ken ala ken toki tawa jan Ton?
I'm very humble.	mi anpa mute.
I was the one who should've left early.	mi kin li wile weka lon tenpo pini pi tenpo weka.
Wrong.	lon ala.
Rome became a great power under Julius Caesar.	lon lawa pi jan Julisesa la, ma tomo Loma li kama wawa.
I want you to come and get me.	mi wile sina kama en li kama jo e mi.
No, I don't understand.	ala. mi sona ala.
I'm walking.	mi tawa kepeken noka.
Would you still love me if I wasn't a werewolf?	mi jan pi kama soweli ala la sina awen ala awen olin e mi?
I wasn't told the truth.	jan li toki ala e lon tawa mi.
Tom never showed up last night.	tenpo pimeja pini la jan Ton li kama ala.
I love to dance.	tawa musi li pona mute tawa mi.
I'm going to scream.	mi kalama uta wawa.
Your handwriting looks like that of your father.	sitelen luka sina li sama sitelen luka pi mama mije sina.
It matters not how many books one reads, but which books.	sina lukin e lipu sona mute, la ni li suli ala. sina lukin e lipu sona seme? ni li suli.
See you in hell.	mi lukin e sina lon ma ike seli.
You won't get anything by shouting.	sina kama jo e ijo ala kepeken toki wawa.
We shall all miss you when you go away.	sina tawa weka, la mi ale li pilin e weka sina.
My brother walks as fast as me.	mije sama mi li tawa wawa sama mi.
Tom said that he was really glad he'd done that.	jan Ton li toki e ni: ona li pilin pona, tan ni: ona li pali e ni.
He lives in New York.	ona li awen lon ma tomo Nujo.
I use it.	mi kepeken ona.
She made pumpkin soup in a black cauldron for Halloween.	ona li telo e kili suli loje lon poki suli pimeja tan suno monsuta.
Here comes the good part.	ni la wan pona li kama.
Tom says that Mary is tired.	jan Ton li toki e ni: jan Mewi li wile lape.
I am in my house.	mi lon tomo mi.
Tom didn't know because I never told him.	jan Ton li sona ala tan ni: tenpo ala la mi toki e ni tawa ona.
Tom is in his bedroom doing his homework.	jan Ton li lon tomo lape ona li pali e pali tomo ona pi tomo sona.
It's because of you that we were late.	sina pali e ni: mi kama lon tenpo ike.
I was sound asleep.	mi lape ali.
You wanna fight me?!	sina wile utala e mi anu seme?
Do you have any light beer?	sina jo ala jo e telo nasa pi wawa lili?
Why don't you take off your coat?	sina weka ala e len tan seme?
What's your response?	toki sina li seme?
She sleeps in the car.	ona li lape lon tomo tawa.
Go inside!	o tawa insa!
I am the Messiah.	open pi pini tenpo la mi lawa e kulupu jan Isale.
My cat girl, you're so uwu.	meli soweli mi o, sina uwu mute a.
That's what I'll do.	mi pali e ni kin.
It's all I know.	mi sona e ni taso.
I'm sorry, I don't dance.	o weka e ike tan mi. mi tawa musi ala.
One word and you're a dead man.	sina toki e nimi wan, la sina sama jan moli.
The monkey rode on the colt.	soweli pi selo jan li tawa lon soweli tawa lili.
Sami hunted around the house to find the money.	jan Sami li alasa lon poka tomo tan ni: ona li wile jo e mani.
It rained last Monday.	telo li kama tan sewi lon tenpo suno Mun pini.
We're hunters.	mi mute li jan alasa.
In Hong Kong, English is the second language.	ma tomo Onkon la toki Inli li toki nanpa tu.
That was helpful.	ni li pana e pona.
We go to school to study.	mi mute li tawa tomo sona tawa ni: mi mute li kama sona.
The children are happy.	jan lili li pilin pona.
She has a strange hat on.	len lawa nasa li lon lawa ona.
Ignorance is always dangerous.	tenpo ale la sona ala li ken ike.
It is neither good nor bad.	ona li pona ala li ike ala.
They talk very fast.	ona li toki pi mute mute lon tenpo lili.
His life spanned nearly a century.	ala lili la ale ona li awen lon sike suno ale.
Tom bought rolls.	jan Ton li esun e pan mute.
Tom asked me to shut the gate.	jan Ton li toki tawa mi, li wile e ni: mi pini e lupa suli.
Am I the only one who thinks this is weird?	ni li nasa tawa mi taso ala taso?
I'm not going to sell it.	tenpo kama la, mi esun ala e ona.
I don't want to get into the water until the lifeguard goes on duty.	jan lukin li kama ala, la mi wile ala tawa insa telo.
Here's the bakery.	ni li tomo pi pali pan.
I had to go back to Boston.	mi wile tawa sin tawa ma tomo Pasen.
She died before I arrived there.	tenpo sinpin la mi kama lon ni la ona li kama moli.
I'm not giving you any money.	mi pana e mani ala tawa sina.
That looks like blood.	ni en telo sijelo loje li sama.
Tom didn't have to wait in line.	jan Ton li wile ala awen lon linja jan.
Did Tom do that?	jan Ton li pali e ni anu seme?
Why am I here?	tan seme la mi lon ni?
"What hour did you wake up today? - ""at eight o'clock"""	"tenpo suli nanpa seme la sina pini e lape lon tenpo suno ni? - ""lon tenpo suli nanpa luka tu wan."""
He will hire someone who speaks English.	ona li kama jo e jan pali ni: ona li toki lon toki Inli.
Each soccer team must have eleven players at the beginning of the match.	kulupu pi tawa wawa musi li jo e jan luka luka wan lon open musi.
Tom has issues.	jan Ton li jo e ike mute.
This road is terrible.	nasin ni li ike mute.
We made love.	mi mute li unpa.
Somebody's inside the house.	jan li lon insa tomo.
Tom didn't want Mary to talk to John.	jan Ton li wile ala e ni: jan Mewi li toki tawa jan Son.
He broke the record.	ona li kama nanpa wan sin.
Tom has been in the bathroom for quite a while.	tenpo suli la jan Ton li lon tomo telo.
He is only a man.	ona li mije taso.
I sat at the riverbank, under the shade of an oleander.	mi pana e monsi mi lon supa poka pi nasin telo. mi anpa pi kasi Olewanta.
You cannot have your cake and eat it, too.	tenpo sama la sina ken ala jo e pan suwi li ken ala moku kin e ona.
Tom offered Mary a drink of water, but she refused.	jan Ton li wile pana e telo lili tawa jan Mewi. taso ona li wile ala kama jo.
My parents are from China.	mama mi li tan ma Sonko.
Witches don't exist.	jan nasa wawa li lon ala.
He's eating breakfast now.	tenpo ni la ona li moku. tenpo ni la tenpo suno li open.
How is it correct?	nasin pona li seme?
Your room is bigger than mine.	tomo sina li suli. tomo mi li lili.
Tom isn't as happy as he seems to be.	mi lukin e jan Ton, la mi pilin e ni: ona li pilin pona mute. taso jan Ton li pilin pona lili.
Everyone in my family is rich.	jan ale pi kulupu mama mi li jo e mani mute.
Who says Tom knew?	jan seme li toki e ni: jan Ton li sona e ona?
I got the water.	mi kama jo e telo.
